Datum,Unternehmen,Produkt,Modifikation,Produktionslinie,Schicht,Stueckzahl,Ausschuss,Betriebsstunden,Stillstandszeit_Min,MaxTemperatur,Durchschnittstemperatur,Softwareversion,Firmwareversion,EndOfLine_Test,Materialkosten,Energieverbrauch_kWh,Auftragsnummer,Status,Fehlercode,Mitarbeiter_Produktion
2019-01-01,Industrium GmbH,HMI-Terminal,HMI-10,Linie 3,Nacht,37,2,5.7,22,60.5,54.3,v4.9,f1.0,Bestanden,4947.15,7.09,A-24944,in Produktion,I/O_ERROR,90
2019-01-01,Industrium GmbH,Robust Panel PC,RPPC-1100,Linie 3,Früh,59,4,5.7,48,64.6,56.9,v1.4,f3.1,Bestanden,4364.21,13.21,A-92508,in Produktion,POWER_FAIL,90
2019-01-01,ControlWare KG,Embedded Box PC,EPC-30,Linie 4,Nacht,298,14,4.4,43,77.5,70.3,v1.6,f2.3,Bestanden,3722.95,22.41,A-30839,pausiert,TEMP_HIGH,75
2019-01-01,NextFactory Solutions,Embedded Box PC,EPC-35,Linie 2,Nacht,288,24,7.6,44,61.7,60.6,v4.1,f3.3,Bestanden,3410.23,20.99,A-15474,pausiert,POWER_FAIL,110
2019-01-01,NextFactory Solutions,Edge Controller,EC-200,Linie 3,Nacht,285,4,9.4,57,49.0,43.6,v3.1,f2.3,Bestanden,9948.61,21.7,A-44437,in Produktion,POWER_FAIL,110
2019-01-02,Industrium GmbH,Control Panel,CP-400,Linie 4,Spät,80,3,3.5,3,59.9,52.6,v1.6,f2.4,Bestanden,8875.46,15.24,A-58600,in Produktion,VIBRATION,90
2019-01-02,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 3,Spät,242,21,6.1,12,82.3,76.3,v2.7,f2.1,Bestanden,2539.74,34.02,A-84209,pausiert,TEMP_HIGH,110
2019-01-02,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 2,Nacht,150,10,4.8,35,54.6,48.9,v4.9,f2.3,Bestanden,5658.57,17.32,A-57738,Fehler,POWER_FAIL,120
2019-01-03,Industrium GmbH,Monitoring Unit,MON-800,Linie 4,Nacht,120,1,10.0,9,42.8,41.2,v1.9,f1.2,Bestanden,4433.61,33.26,A-27115,pausiert,VIBRATION,90
2019-01-03,Industrium GmbH,Control Panel,CP-430,Linie 2,Spät,206,11,6.5,53,62.0,57.1,v4.1,f3.3,Bestanden,6256.42,21.71,A-36761,in Produktion,TEMP_HIGH,90
